region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed
R2,roof,9,0.160,0.440,1.450,0.0000,0.0000,1.0000,7.444,5436,3.035,0.1840,2,+0.983,-0.979,0.2754,0.2664,1.5031,0.2814,0.1565,0.2184,1.8328,1.5605,40.68,3.2860,37.39,35.58,59.31,62.02,False,False,True,True,True,False,gu_below_target(62.0<70);ra_above_target(0.218>0.20),0.0,False,flat_trained_bc_policy_inference,7211,474.5,True
R2,roof,10,0.400,-0.440,1.450,0.0000,0.0000,1.0000,7.432,5436,3.052,0.1840,2,+0.977,-0.973,0.3023,0.2555,1.7203,0.5165,0.1810,0.2001,1.9368,1.3879,46.28,3.2648,43.02,40.26,48.71,68.26,False,False,True,True,True,False,gu_below_target(68.3<70);ra_above_target(0.200>0.20),0.0,False,flat_trained_bc_policy_inference,7212,471.7,True
R2,roof,11,0.400,-0.220,1.450,0.0000,0.0000,1.0000,7.413,5436,3.091,0.1840,2,+0.966,-0.960,0.2984,0.2795,1.2550,0.3191,0.2117,0.2260,1.7795,1.5017,43.38,3.2119,40.17,36.94,53.18,65.82,False,False,True,True,True,False,gu_below_target(65.8<70);ra_above_target(0.226>0.20),0.0,False,flat_trained_bc_policy_inference,7213,465.8,True
R2,roof,12,0.400,0.000,1.450,0.0000,0.0000,1.0000,7.236,5436,3.429,0.1840,2,+0.866,-0.847,0.1549,0.2121,0.5784,0.0725,0.1167,0.1588,1.0044,1.1194,42.80,2.8279,39.97,35.74,53.87,66.27,False,True,True,True,True,False,gu_below_target(66.3<70),0.0,False,flat_trained_bc_policy_inference,7214,419.9,True
R2,roof,13,0.400,0.220,1.450,0.0000,0.0000,1.0000,7.200,5436,3.522,0.1840,2,+0.839,-0.815,0.1465,0.2000,0.5728,0.0517,0.1106,0.1554,0.9058,0.8498,45.55,2.7419,42.81,39.52,46.79,69.82,False,True,True,True,True,False,gu_below_target(69.8<70),0.0,False,flat_trained_bc_policy_inference,7215,408.8,True
R2,roof,14,0.400,0.440,1.450,0.0000,0.0000,1.0000,7.307,5436,3.294,0.1840,2,+0.906,-0.892,0.1353,0.2176,1.0830,0.1216,0.0770,0.1738,1.2321,1.1213,46.60,2.9827,43.62,42.46,59.64,70.67,True,True,True,True,True,True,,0.0,False,flat_trained_bc_policy_inference,7216,437.1,True
R2,roof,15,0.640,-0.440,1.450,0.0000,0.0000,1.0000,7.264,5436,3.379,0.1840,2,+0.881,-0.863,0.2026,0.3468,0.8603,0.2199,0.1399,0.2849,1.2119,1.6795,43.19,2.8732,40.32,39.50,52.55,66.96,False,False,True,True,True,False,gu_below_target(67.0<70);ra_above_target(0.285>0.20),0.0,False,flat_trained_bc_policy_inference,7217,426.1,True
R2,roof,16,0.640,-0.220,1.450,0.0000,0.0000,1.0000,7.191,5436,3.514,0.1840,2,+0.841,-0.818,0.1479,0.1878,0.5261,0.0532,0.1123,0.1462,0.9381,0.8017,46.63,2.7490,43.88,41.00,54.14,70.56,True,True,True,True,True,True,,0.0,False,flat_trained_bc_policy_inference,7218,409.7,True
R2,roof,17,0.640,0.000,1.450,0.0000,0.0000,1.0000,7.357,5436,3.202,0.1840,2,+0.934,-0.923,0.2426,0.2973,0.9631,0.1297,0.1770,0.2389,1.4623,1.4625,45.58,3.0753,42.50,38.73,55.90,68.15,False,False,True,True,True,False,gu_below_target(68.2<70);ra_above_target(0.239>0.20),0.0,False,flat_trained_bc_policy_inference,7219,449.7,True
R2,roof,18,0.640,0.220,1.450,0.0000,0.0000,1.0000,7.427,5436,3.064,0.1840,2,+0.974,-0.970,0.2697,0.2636,1.3111,0.2050,0.1658,0.2089,1.7548,1.3990,47.45,3.2456,44.20,41.34,55.02,69.14,False,False,True,True,True,False,gu_below_target(69.1<70);ra_above_target(0.209>0.20),0.0,False,flat_trained_bc_policy_inference,7220,470.0,True
R2,roof,19,0.640,0.440,1.450,0.0000,0.0000,1.0000,7.059,5436,3.755,0.1840,2,+0.767,-0.737,0.1283,0.2108,0.6665,0.1146,0.0919,0.1730,0.9784,0.9894,46.50,2.5243,43.98,41.38,60.99,71.12,True,True,True,True,True,True,,0.0,False,flat_trained_bc_policy_inference,7221,383.5,True
R2,roof,20,0.880,-0.440,1.450,0.0000,0.0000,1.0000,7.414,5436,3.089,0.1840,2,+0.967,-0.961,0.3437,0.2828,1.6429,0.3424,0.2194,0.2271,1.9937,1.5881,43.44,3.2138,40.23,38.14,50.98,66.58,False,False,True,True,True,False,gu_below_target(66.6<70);ra_above_target(0.227>0.20),0.0,False,flat_trained_bc_policy_inference,7222,466.1,True
R2,roof,21,0.880,-0.220,1.450,0.0000,0.0000,1.0000,7.432,5436,3.058,0.1840,2,+0.977,-0.972,0.2597,0.2815,1.2673,0.2426,0.1774,0.2283,1.7476,1.4879,44.09,3.2553,40.83,37.10,49.43,65.93,False,False,True,True,True,False,gu_below_target(65.9<70);ra_above_target(0.228>0.20),0.0,False,flat_trained_bc_policy_inference,7223,470.9,True
R2,roof,22,0.880,0.000,1.450,0.0000,0.0000,1.0000,7.289,5436,3.350,0.1840,2,+0.890,-0.873,0.1711,0.2470,0.8154,0.1163,0.1239,0.1913,1.2179,1.1973,49.63,2.9092,46.72,44.08,66.75,71.50,True,True,True,True,True,True,,0.0,False,flat_trained_bc_policy_inference,7224,429.8,True
R2,roof,23,0.880,0.220,1.450,0.0000,0.0000,1.0000,7.175,5436,3.548,0.1840,2,+0.831,-0.807,0.1031,0.1997,0.5589,0.0456,0.0763,0.1511,0.7582,0.8359,43.68,2.7110,40.97,37.07,67.50,68.85,False,True,True,True,True,False,gu_below_target(68.8<70),0.0,False,flat_trained_bc_policy_inference,7225,405.8,True
R2,roof,24,0.880,0.440,1.450,0.0000,0.0000,1.0000,7.290,5436,3.348,0.1840,2,+0.890,-0.874,0.1359,0.2348,0.7782,0.0975,0.0904,0.1882,1.0195,1.1380,49.14,2.9170,46.22,45.37,55.70,71.52,True,True,True,True,True,True,,0.0,False,flat_trained_bc_policy_inference,7226,430.0,True
R3,door_left,0,0.020,0.850,0.595,0.0000,1.0000,0.0000,3.483,5436,3.343,0.1840,2,+0.877,-0.876,0.2810,0.1802,1.2281,0.6687,0.1802,0.1373,1.5811,1.1781,42.39,1.3956,40.99,38.31,54.65,67.24,False,True,True,True,True,False,gu_below_target(67.2<70),90.0,True,flat_trained_bc_policy_inference,7303,430.7,True
R3,door_left,1,0.020,0.850,0.685,0.0000,1.0000,0.0000,3.483,5436,3.420,0.1840,2,+0.856,-0.850,0.1539,0.1254,0.6043,0.1297,0.1125,0.0980,0.9789,0.6883,47.90,1.3631,46.54,44.34,57.19,72.92,True,True,True,True,True,True,,90.0,True,flat_trained_bc_policy_inference,7304,421.0,True
R3,door_left,2,0.020,0.850,0.775,0.0000,1.0000,0.0000,3.481,5436,3.725,0.1840,2,+0.767,-0.747,0.1441,0.1205,0.6057,0.2206,0.0996,0.0991,0.9358,0.7003,47.58,1.2517,46.33,43.22,60.66,72.69,True,True,True,True,True,True,,90.0,True,flat_trained_bc_policy_inference,7305,386.5,True
R3,door_left,3,0.020,0.850,0.865,0.0000,1.0000,0.0000,3.483,5436,3.320,0.1840,2,+0.892,-0.883,0.2192,0.1406,0.9291,0.3705,0.1480,0.1101,1.3005,0.9859,42.41,1.4049,41.01,37.85,57.01,68.76,False,True,True,True,True,False,gu_below_target(68.8<70),90.0,True,flat_trained_bc_policy_inference,7306,433.6,True
R3,door_left,4,0.020,0.850,0.955,0.0000,1.0000,0.0000,3.483,5436,3.312,0.1840,2,+0.898,-0.886,0.1610,0.1284,0.8562,0.3061,0.1066,0.1031,1.1723,0.8288,40.43,1.4086,39.02,35.30,53.66,66.52,False,True,True,True,True,False,gu_below_target(66.5<70),90.0,True,flat_trained_bc_policy_inference,7307,434.7,True
R3,door_left,5,0.260,0.850,0.595,0.0000,1.0000,0.0000,3.481,5436,3.732,0.1840,2,+0.775,-0.745,0.1318,0.1177,0.4057,0.0909,0.1012,0.0908,0.8325,0.5779,41.20,1.2492,39.95,38.69,55.42,71.73,True,True,True,True,True,True,,90.0,True,flat_trained_bc_policy_inference,7308,385.8,True
R3,door_left,6,0.260,0.850,0.685,0.0000,1.0000,0.0000,3.482,5436,3.457,0.1840,2,+0.853,-0.837,0.1786,0.1266,0.7052,0.1780,0.1358,0.0989,1.0768,0.7540,43.35,1.3489,42.00,39.82,59.57,71.69,True,True,True,True,True,True,,90.0,True,flat_trained_bc_policy_inference,7309,416.5,True
