region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,warranty_removal_ok,scratch_improved,clearcoat_safe,overall_pass,failure_reason,disposition,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R3,door_left,5,0.260,0.850,0.595,0.0000,1.0000,0.0000,3.482,4648,3.487,0.2620,3,-0.185,-0.989,0.1804,0.1475,0.9582,0.4430,0.1376,0.1153,1.2514,0.9001,49.92,1.1746,48.75,47.39,66.35,73.88,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7308,413.1,True,0
R3,door_left,6,0.260,0.850,0.685,0.0000,1.0000,0.0000,3.481,4648,3.741,0.2620,3,-0.551,-0.916,0.1971,0.1236,0.6348,0.2013,0.1594,0.0941,1.1458,0.7958,46.22,1.0945,45.13,42.72,61.28,72.90,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7309,385.0,True,0
R3,door_left,7,0.260,0.850,0.775,0.0000,1.0000,0.0000,3.481,4648,3.643,0.2620,3,-0.619,-0.944,0.1630,0.1319,0.3058,0.0812,0.1291,0.1039,0.9146,0.7285,45.58,1.1250,44.46,42.69,63.25,72.30,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7310,395.3,True,0
R3,door_left,8,0.260,0.850,0.865,0.0000,1.0000,0.0000,3.482,4648,3.606,0.2620,3,-0.445,-0.955,0.1602,0.1152,0.4930,0.1805,0.1248,0.0930,0.9571,0.5869,47.85,1.1359,46.71,42.91,69.94,73.47,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7311,399.4,True,0
R3,door_left,9,0.260,0.850,0.955,0.0000,1.0000,0.0000,3.482,4648,3.493,0.2620,3,-0.318,-0.988,0.1781,0.1575,0.9143,0.5344,0.1311,0.1202,1.3684,1.0600,48.76,1.1726,47.59,44.63,65.22,72.62,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7312,412.4,True,0
R3,door_left,10,0.500,0.850,0.595,0.0000,1.0000,0.0000,3.482,4648,3.482,0.2620,3,-0.254,-0.991,0.1744,0.1283,0.3480,0.0838,0.1390,0.1004,1.0160,0.7578,49.99,1.1762,48.81,45.65,68.45,74.04,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7313,413.6,True,0
R3,door_left,11,0.500,0.850,0.685,0.0000,1.0000,0.0000,3.468,4648,6.164,0.2620,3,-0.977,-0.213,0.1352,0.1026,0.4123,0.2094,0.1039,0.0821,0.8763,0.6574,41.08,0.6602,40.42,39.77,71.46,73.30,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7314,233.7,True,0
R3,door_left,12,0.500,0.850,0.775,0.0000,1.0000,0.0000,3.472,4648,5.465,0.2620,3,-0.949,-0.416,0.1424,0.1132,0.4561,0.2407,0.1058,0.0871,0.9188,0.7662,41.71,0.7450,40.97,39.84,58.96,72.06,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7315,263.6,True,0
R3,door_left,13,0.500,0.850,0.865,0.0000,1.0000,0.0000,3.482,4648,3.580,0.2620,3,-0.464,-0.962,0.1778,0.1463,0.2919,0.0487,0.1398,0.1126,1.0537,0.9127,47.42,1.1447,46.28,43.80,61.93,73.36,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7316,402.3,True,0
R3,door_left,14,0.500,0.850,0.955,0.0000,1.0000,0.0000,3.479,4648,4.171,0.2620,3,-0.797,-0.791,0.1435,0.1073,0.1867,0.0441,0.1116,0.0811,0.8451,0.6930,44.17,0.9821,43.19,40.26,75.70,74.01,True,True,True,True,True,True,True,,pass,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7317,345.3,True,0
