region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,warranty_removal_ok,scratch_improved,clearcoat_safe,overall_pass,failure_reason,disposition,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R2,roof,12,0.400,0.000,1.450,0.0000,0.0000,1.0000,8.421,3259,4.444,0.2700,2,+0.973,-0.427,0.1549,0.1299,0.5784,0.1675,0.1167,0.1003,1.0044,0.8257,42.80,1.0521,41.75,38.01,53.87,70.48,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7214,216.1,True,0
R2,roof,13,0.400,0.220,1.450,0.0000,0.0000,1.0000,8.421,3259,4.418,0.2700,2,+0.973,-0.436,0.1465,0.1178,0.5728,0.1449,0.1106,0.0954,0.9058,0.6233,45.55,1.0584,44.49,41.74,46.79,71.23,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7215,217.3,True,0
R2,roof,14,0.400,0.440,1.450,0.0000,0.0000,1.0000,8.425,3259,4.256,0.2700,2,+0.977,-0.493,0.1353,0.1363,1.0830,0.5095,0.0770,0.1036,1.2321,1.0454,46.60,1.1003,45.50,44.85,59.64,72.41,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7216,225.6,True,0
R2,roof,15,0.640,-0.440,1.450,0.0000,0.0000,1.0000,8.418,3259,4.545,0.2700,4,+0.972,-0.391,0.2026,0.1857,0.8603,0.1604,0.1399,0.1467,1.2119,0.9876,43.19,2.0573,41.13,40.53,52.55,70.45,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7217,422.5,True,1
R2,roof,16,0.640,-0.220,1.450,0.0000,0.0000,1.0000,8.423,3259,4.352,0.2700,2,+0.978,-0.459,0.1479,0.1194,0.5261,0.2446,0.1123,0.0972,0.9381,0.6344,46.63,1.0758,45.55,42.11,54.14,72.02,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7218,220.6,True,0
R2,roof,17,0.640,0.000,1.450,0.0000,0.0000,1.0000,8.420,3259,4.474,0.2700,4,+0.975,-0.416,0.2426,0.2176,0.9631,0.1739,0.1770,0.1734,1.4623,1.1757,45.58,2.0906,43.49,40.19,55.90,70.52,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7219,429.2,True,1
R2,roof,18,0.640,0.220,1.450,0.0000,0.0000,1.0000,8.425,3259,4.272,0.2700,4,+0.976,-0.488,0.2697,0.2036,1.3111,0.4300,0.1658,0.1571,1.7548,1.2581,47.45,2.1928,45.26,42.85,55.02,70.55,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7220,449.5,True,1
R2,roof,19,0.640,0.440,1.450,0.0000,0.0000,1.0000,8.424,3259,4.330,0.2700,2,+0.977,-0.467,0.1283,0.1203,0.6665,0.2572,0.0919,0.0959,0.9784,0.7121,46.50,1.0814,45.42,42.51,60.99,72.83,True,True,True,True,True,True,True,,pass,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7221,221.8,True,0
R2,roof,20,0.880,-0.440,1.450,0.0000,0.0000,1.0000,8.413,3259,4.654,0.2700,6,+0.975,-0.353,0.3437,0.2874,1.6429,0.2813,0.2194,0.2253,1.9937,1.6103,43.44,3.0127,40.43,38.93,50.98,67.60,False,False,True,True,True,True,False,gu_below_target(67.6<70);ra_above_target(0.225>0.20),rework_candidate,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7222,618.9,True,2
R2,roof,21,0.880,-0.220,1.450,0.0000,0.0000,1.0000,8.412,3259,4.782,0.2700,6,+0.971,-0.307,0.2597,0.2627,1.2673,0.1913,0.1774,0.2082,1.7476,1.4151,44.09,2.9284,41.16,37.84,49.43,67.45,False,False,True,True,True,True,False,gu_below_target(67.4<70);ra_above_target(0.208>0.20),rework_candidate,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7223,602.4,True,2
