region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,force_n,rpm,feed_speed_mm_s,step_over_ratio,pass_count,policy_action_force,policy_action_feed,roughness_before,roughness_after,scratch_before_um,scratch_after_um,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_initial_um,clearcoat_removed_um,clearcoat_remaining_um,clearcoat_remaining_min_um,gu_proxy_before,gu_proxy_after,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,overall_pass,failure_reason,tilt_deg,is_side,evaluation_mode,surface_seed,process_time_s,episode_completed,repolish_episodes
R2,roof,18,0.640,0.220,1.450,0.0000,0.0000,1.0000,7.442,5436,5.253,0.1840,2,+0.991,-0.233,0.2697,0.1845,1.3111,0.5286,0.1658,0.1447,1.7548,1.1665,47.45,1.8977,45.55,43.02,55.02,70.31,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7220,274.2,True,0
R2,roof,19,0.640,0.440,1.450,0.0000,0.0000,1.0000,7.443,5436,4.933,0.1840,2,+0.990,-0.341,0.1283,0.1659,0.6665,0.1091,0.0919,0.1321,0.9784,0.8166,46.50,2.0207,44.48,41.79,60.99,72.19,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7221,292.0,True,0
R2,roof,20,0.880,-0.440,1.450,0.0000,0.0000,1.0000,6.891,5436,3.913,0.1840,4,+0.666,-0.684,0.3437,0.3023,1.6429,0.1143,0.2194,0.2282,1.9937,1.6202,43.44,4.7154,38.72,36.66,50.98,63.23,False,False,True,True,True,False,gu_below_target(63.2<70);ra_above_target(0.228>0.20),0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7222,735.8,True,1
R2,roof,21,0.880,-0.220,1.450,0.0000,0.0000,1.0000,6.866,5436,3.821,0.1840,4,+0.649,-0.715,0.2597,0.2798,1.2673,0.1083,0.1774,0.2095,1.7476,1.6387,44.09,4.8119,39.28,35.36,49.43,61.19,False,False,True,True,True,False,gu_below_target(61.2<70);ra_above_target(0.209>0.20),0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7223,753.5,True,1
R2,roof,22,0.880,0.000,1.450,0.0000,0.0000,1.0000,7.433,5436,5.012,0.1840,2,+0.984,-0.314,0.1711,0.1775,0.8154,0.1675,0.1239,0.1393,1.2179,0.9843,49.63,1.9866,47.64,44.74,66.75,72.65,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7224,287.4,True,0
R2,roof,23,0.880,0.220,1.450,0.0000,0.0000,1.0000,7.443,5436,4.831,0.1840,2,+0.989,-0.375,0.1031,0.1732,0.5589,0.0797,0.0763,0.1387,0.7582,0.7832,43.68,2.0635,41.62,38.03,67.50,70.94,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7225,298.1,True,0
R2,roof,24,0.880,0.440,1.450,0.0000,0.0000,1.0000,7.431,5436,5.009,0.1840,2,+0.983,-0.315,0.1359,0.1733,0.7782,0.1599,0.0904,0.1400,1.0195,0.8439,49.14,1.9875,47.15,46.61,55.70,72.79,True,True,True,True,True,True,,0.0,False,flat_trained_bc_ppo_terminal_policy_inference,7226,287.6,True,0
R3,door_left,0,0.020,0.850,0.595,0.0000,1.0000,0.0000,3.478,5436,4.248,0.1840,6,+0.206,-0.571,0.2810,0.1839,1.2281,0.2143,0.1802,0.1388,1.5811,1.1059,42.39,3.2901,39.10,36.35,54.65,65.27,False,True,True,True,True,False,gu_below_target(65.3<70),90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7303,1017.0,True,2
R3,door_left,1,0.020,0.850,0.685,0.0000,1.0000,0.0000,3.475,5436,4.956,0.1840,2,+0.394,-0.333,0.1539,0.1025,0.6043,0.2183,0.1125,0.0806,0.9789,0.6869,47.90,0.9392,46.96,44.90,57.19,72.45,True,True,True,True,True,True,,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7304,290.6,True,0
R3,door_left,2,0.020,0.850,0.775,0.0000,1.0000,0.0000,3.475,5436,4.963,0.1840,2,+0.390,-0.331,0.1441,0.0957,0.6057,0.2957,0.0996,0.0754,0.9358,0.6434,47.58,0.9377,46.64,43.51,60.66,72.62,True,True,True,True,True,True,,90.0,True,flat_trained_bc_ppo_terminal_policy_inference,7305,290.2,True,0
