cell_id,region,cx,cy,cz,nx,ny,nz,ux,uy,uz,vx,vy,vz
271,side_right,0.57844,1.26083,0.54223,0.84492,0.35811,0.39733,-0.32406,0.93368,-0.15239,-0.42555,0.0,0.90493
272,side_right,0.45676,1.25943,0.65304,0.76276,0.30174,0.57197,-0.24141,0.95339,-0.18103,-0.59993,0.0,0.80005
273,side_right,0.54308,1.36796,0.20396,0.78891,0.61031,-0.07169,-0.60781,0.79216,0.05524,0.09051,0.0,0.9959
274,side_right,0.56847,1.36371,0.29569,0.77961,0.59125,-0.20648,-0.57154,0.80649,0.15138,0.25603,0.0,0.96667
275,side_right,0.56681,1.36852,0.44068,0.85323,0.43242,0.29156,-0.40919,0.90167,-0.13982,-0.32335,0.0,0.94628
276,side_right,0.54225,1.34618,0.53334,0.8125,0.42802,0.39578,-0.38479,0.90377,-0.18744,-0.43792,0.0,0.89901
277,side_right,0.40422,1.36527,0.63927,0.69411,0.52672,0.49069,-0.4301,0.85004,-0.30405,-0.57726,0.0,0.81656
278,top,-0.61562,-0.99533,0.55782,-0.62454,-0.19595,0.75601,0.78099,-0.1567,0.60457,-0.0,0.96801,0.2509
279,top,-0.61596,-0.91937,0.57666,-0.65444,-0.16658,0.73754,0.75611,-0.14418,0.63836,0.0,0.97543,0.22031
280,top,-0.61041,-0.41777,0.62029,-0.43374,-0.0303,0.90053,0.90104,-0.01458,0.4335,-0.0,0.99943,0.03362
281,top,-0.61221,-0.29862,0.62098,-0.45674,0.005,0.88959,0.8896,0.00257,0.45673,-0.0,0.99998,-0.00562
282,top,-0.61364,-0.17608,0.61988,-0.51067,0.00165,0.85978,0.85978,0.00098,0.51067,0.0,1.0,-0.00191
283,top,-0.61386,-0.05997,0.61692,-0.5959,0.02571,0.80265,0.80306,0.01908,0.5956,-0.0,0.99949,-0.03201
284,top,-0.61215,0.05467,0.61343,-0.66537,0.0347,0.74571,0.74652,0.03093,0.66465,0.0,0.99892,-0.04649
285,top,-0.6087,0.77851,0.61406,-0.57317,-0.15128,0.80535,0.81943,-0.10582,0.56332,0.0,0.98281,0.18462
286,top,-0.60951,1.02909,0.61514,-0.64902,0.11737,0.75166,0.76077,0.10013,0.64125,0.0,0.98803,-0.15427
287,top,-0.49946,-1.24593,0.53994,-0.29744,-0.38374,0.87423,0.95474,-0.11955,0.27235,-0.0,0.91567,0.40193
288,top,-0.51572,-1.13634,0.57842,-0.28222,-0.285,0.91604,0.95935,-0.08384,0.26948,-0.0,0.95486,0.29707
289,top,-0.54582,-1.01994,0.59183,-0.36825,-0.17815,0.9125,0.92973,-0.07056,0.36142,0.0,0.98147,0.19161
290,top,-0.54384,-0.90332,0.61325,-0.27034,-0.14465,0.95184,0.96277,-0.04062,0.26727,0.0,0.98865,0.15024
291,top,-0.5406,-0.78165,0.62677,-0.24991,-0.07614,0.96527,0.96827,-0.01965,0.24913,0.0,0.9969,0.07863
292,top,-0.54182,-0.66017,0.63451,-0.26931,-0.04297,0.96209,0.96305,-0.01202,0.26904,-0.0,0.999,0.04462
293,top,-0.54114,-0.54096,0.63813,-0.27109,-0.02818,0.96214,0.96255,-0.00794,0.27097,-0.0,0.99957,0.02928
294,top,-0.54274,-0.4211,0.64191,-0.26511,-0.03476,0.96359,0.96422,-0.00956,0.26494,0.0,0.99935,0.03605
295,top,-0.54682,-0.30328,0.6435,-0.26955,-0.00118,0.96299,0.96299,-0.00033,0.26955,-0.0,1.0,0.00122
296,top,-0.56792,-0.18527,0.64036,-0.4169,-0.07294,0.90602,0.90895,-0.03346,0.41555,0.0,0.99677,0.08025
297,top,-0.58108,-0.06171,0.63878,-0.53313,0.00729,0.846,0.84603,0.00459,0.53311,0.0,0.99996,-0.00861
298,top,-0.58185,0.0591,0.63745,-0.59001,0.0009,0.80739,0.80739,0.00066,0.59001,-0.0,1.0,-0.00111
299,top,-0.5779,0.1684,0.6404,-0.67245,0.02037,0.73986,0.74014,0.01851,0.6722,0.0,0.99962,-0.02752
300,top,-0.5761,0.70312,0.62415,-0.66431,-0.09527,0.74136,0.74746,-0.08467,0.65889,0.0,0.99184,0.12746
