cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
63,rear,-0.063,-1.475,0.497,61.2,True,+1.9813,-8.8106,21.81,fail_force_overload,0,73.32,73.33,0.1209,0.950,0.273,0.273,45.51,40.95,23.62,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
64,rear,0.059,-1.440,0.180,98.2,True,-0.1756,+4.5489,9.89,fail_force_overload,0,72.52,72.15,0.1219,0.999,0.514,0.514,45.97,41.92,34.62,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
65,rear,0.057,-1.487,0.313,104.0,True,+0.5766,-6.3193,12.13,fail_force_overload,0,70.09,70.15,0.1365,0.992,0.609,0.376,40.69,35.76,34.77,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
66,rear,0.056,-1.452,0.417,86.2,True,+4.3323,+11.3989,28.17,fail_force_overload,0,70.32,70.35,0.1103,0.857,0.221,0.221,41.66,38.55,24.72,True,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
67,rear,0.061,-1.476,0.496,61.4,True,+1.4306,-8.1990,20.82,fail_force_overload,0,59.22,67.32,0.1714,1.218,0.768,0.620,40.45,37.91,34.53,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
68,rear,0.180,-1.427,0.183,95.9,True,-0.1943,+6.1718,10.28,fail_force_overload,0,67.03,72.17,0.1307,0.955,0.355,0.266,48.52,47.23,34.83,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
69,rear,0.180,-1.472,0.315,102.8,True,+0.1467,-8.5007,13.35,fail_force_overload,0,59.17,70.10,0.1642,0.988,0.508,0.252,41.09,37.42,34.51,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
70,rear,0.178,-1.426,0.417,88.1,True,+1.1648,+14.2074,26.87,fail_force_overload,0,65.56,65.57,0.1095,0.854,0.381,0.381,44.54,41.55,24.21,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt
71,rear,0.180,-1.455,0.497,61.6,True,+0.5989,-17.6100,17.63,fail_force_overload,0,69.80,69.81,0.1330,1.032,0.508,0.508,49.31,46.61,24.38,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
72,rear,0.309,-1.403,0.188,88.8,True,-0.3971,+7.7016,11.46,fail_force_overload,0,68.88,68.33,0.1144,0.915,0.292,0.292,43.51,41.75,34.78,False,True,True,False,True,True,False,spot_repaint_review,model_ppo_curved.pt
73,rear,0.302,-1.439,0.311,104.6,True,+0.1098,-2.6027,5.70,fail_clearcoat_budget,1,60.44,68.58,0.1208,0.858,0.568,0.117,40.91,36.72,35.95,False,True,True,True,True,True,False,rework_candidate,model_ppo_curved.pt
