cell_id,region,center_x_m,center_y_m,center_z_m,tilt_deg,is_side,quad_c3,quad_c5,fit_rms_mm,outcome,passes,gu_before,gu_final,ra_final_um,rz_final_um,scratch_before_um,scratch_final_um,clearcoat_initial_um,clearcoat_min_um,temperature_peak_c,gu_target_pass,ra_target_pass,rz_target_pass,scratch_improved,clearcoat_safe,warranty_removal_ok,overall_pass,disposition,checkpoint
89,side_left,-0.616,-1.147,0.424,82.5,True,-2.1057,-2.4348,4.12,fail_force_overload,0,68.59,72.35,0.1138,0.752,0.407,0.172,44.20,39.13,32.72,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
91,side_left,-0.629,-1.032,0.522,68.6,True,-0.9575,-3.9970,4.59,fail_clearcoat_budget,1,71.55,67.81,0.1671,1.058,0.155,0.049,41.37,36.57,32.66,False,True,True,True,True,True,False,rework_candidate,model_ppo_curved.pt|pad0.035_f0.7
92,side_left,-0.634,-0.892,0.555,66.1,True,-0.8543,-4.4358,4.73,fail_force_overload,0,69.58,69.14,0.1233,0.749,0.173,0.087,42.50,37.76,32.65,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
97,side_left,-0.615,-0.657,0.607,63.7,True,+0.1412,-7.5684,6.48,fail_force_overload,0,63.10,69.09,0.1262,0.768,0.414,0.196,46.98,42.45,32.54,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
102,side_left,-0.620,-0.538,0.606,66.0,True,+0.1123,-7.3734,6.03,fail_force_overload,0,66.26,68.65,0.1208,0.809,0.219,0.106,43.42,39.52,32.55,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
107,side_left,-0.624,-0.422,0.608,62.0,True,-0.0033,-6.8785,5.19,fail_force_overload,0,68.30,73.83,0.1753,1.108,0.438,0.239,49.88,46.30,32.56,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
112,side_left,-0.628,-0.305,0.607,63.6,True,-0.1445,-7.2057,5.04,fail_force_overload,0,71.92,74.11,0.1501,1.064,0.421,0.176,48.47,44.80,32.55,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
117,side_left,-0.582,-0.164,0.640,56.2,True,-0.0006,-1.7350,6.02,fail_force_overload,0,65.56,70.86,0.1219,0.872,0.493,0.345,45.61,40.33,32.74,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
122,side_left,-0.561,-0.082,0.670,51.7,True,-0.7561,+2.2844,8.19,fail_clearcoat_budget,1,66.49,67.24,0.1531,0.936,0.257,0.053,40.43,36.05,32.85,False,True,True,True,True,True,False,rework_candidate,model_ppo_curved.pt|pad0.035_f0.7
128,side_left,-0.497,0.056,0.794,51.3,True,-1.4249,-3.1534,1.72,fail_force_overload,0,60.74,68.68,0.1298,0.909,0.329,0.171,41.38,39.33,32.71,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
133,side_left,-0.601,0.191,0.616,47.5,True,+0.0769,-3.4807,2.84,fail_clearcoat_budget,1,60.23,65.27,0.1738,1.114,0.456,0.080,40.18,35.59,32.69,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
134,side_left,-0.471,0.181,0.857,47.9,True,-1.0359,-4.5341,1.92,fail_force_overload,0,72.74,74.17,0.1722,0.967,0.402,0.152,45.06,43.52,32.66,True,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
140,side_left,-0.458,0.316,0.879,48.0,True,-0.2429,-5.0281,1.38,fail_force_overload,0,63.89,69.79,0.1671,0.935,0.211,0.134,43.84,40.45,32.64,False,True,True,True,True,True,False,spot_repaint_review,model_ppo_curved.pt|pad0.035_f0.7
146,side_left,-0.447,0.418,0.888,48.3,True,-0.2392,-4.8002,2.09,success,1,60.31,71.60,0.1701,1.088,0.295,0.038,45.82,41.21,32.62,True,True,True,True,True,True,True,pass,model_ppo_curved.pt|pad0.035_f0.7
